Time,Engine Load (%),Fuel Pressure (mPa),Accel Pedal Position Sensor 2 (%),VVT Exhaust Desired (deg),Knock retard (deg),Electronic throttle control actual (deg),Absolute Throttle Position (OBD) (%),Fuel pulse width (ms),Electronic throttle control position (%),Ambient Air Temperature (F),Barometric pressure (PSI),Manifold absolute pressure (PSI),Intake Air Temperature (F),Rear O2 fuel trim B1 (%),Actual AFR (AFR),Short fuel trim 2 (%),Vehicle speed (kph),VVT Intake Camshaft position duty 1 (%),Throttle position 2 (%),Mass air flow sensor (V),Fuel pressure (mPa),Engine speed (RPM),Evaporative emission canister purge valve duty (%),Engine coolant temperature (F),Long fuel trim 2 (%),Evaporative Emission Canister Purge Valve duty cycle #2 (%),Intake air temperature (F),Accel Pedal Position Sensor 1 (%),Accelerator pedal position sensor 1 (V),Air fuel ratio (AFR),Ambient Air Temperature 2 (F),Calculated Engine Load (OBD) (%),Electronic throttle control desired (deg),Engine Coolant Temperature S1 (F),Engine Oil Pressure (PSI),Engine load,Equivalence ratio B1 S1 (AFR),Evaporative Purge (%),Fuel Injection amoung (mg/cyl),Fuel Pressure Desired (MPa),Fuel pressure desired (mPa),Ignition timing (deg),Intake Shutter Valve Control Desired #2 (deg),KCS Learning Value (deg),Long fuel trim 1 (%),Manifold Air temperature sensor (V),Mass air flow (g/s),Oil Temperature (F),Short fuel trim 1 (%),Throttle position 1 (%),VVT Exhaust Actual Position (deg),VVT Intake Actual Position (deg),VVT Intake Desired (deg),
2839, 0, 0.48, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 87.8, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
3114, 0, 0.47, 7.8, 0, 0, 12.91, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.47, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.78, 0, 21.96, 0, 34.75, 35,
3394, 0, 0.48, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
3684, 0, 0.48, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 163.02, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
3969, 0, 0.48, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
4254, 0, 0.48, 7.8, 0, 0, 12.94, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
4550, 0, 0.48, 7.8, 0, 0, 12.94, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
4860, 0, 0.48, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
5147, 0, 0.49, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.49, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
5429, 0, 0.47, 7.8, 0, 0, 12.91, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.47, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
5714, 0, 0.47, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.47, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
5986, 0, 0.48, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.77, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.84, 0, 21.96, 0, 34.75, 35,
6274, 0, 0.48, 7.8, 0, 0, 12.93, 22, 0, 14.9, 87.8, 14.79, 14.65, 88, 40, 14.7, 0, 0, 35, 21.96, 1.69, 0.48, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 163.02, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 0, 96.73, 0, 21.96, 0, 34.75, 35,
6554, 29.41, 3.61, 7.8, 0, 0, 12.92, 22, 0, 14.9, 87.8, 14.79, 14.5, 88, 40, 14.7, 0, 0, 35, 21.96, 1.71, 3.61, 0, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 0, 12.9, 96.8, 162.88, 0, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 1.04, 96.84, 0, 21.96, 0, 34.75, 35,
6829, 88.24, 9.55, 7.8, 0, 0, 12.95, 22, 0, 14.9, 87.8, 14.79, 14.5, 88, 40, 14.7, 0, 0, 65, 21.96, 1.8, 9.55, 286, 0, 96.8, 0, 0, 89.6, 15.3, 0.76, 14.7, 199.4, 29.4, 12.9, 96.8, 162.88, 72.27, 14.7, 0, 0, 1, 12, 0, 12.9, 0, 0, 2.95, 1.07, 96.84, 0, 21.96, 0, 33.38, 35,
7107, 100, 8.96, 7.8, 0, 0, 12.93, 22, 6.99, 14.9, 87.8, 14.79, 14.5, 88, 40, 14.7, 0, 0, 65, 21.96, 1.98, 8.96, 253, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 100, 12.9, 96.8, 162.88, 71.88, 14.7, 0, 51.12, 1, 10, 0, 12.9, 0, 0, 2.95, 4.23, 96.84, 0, 21.96, 0, 34.5, 35,
7384, 84.71, 7.48, 7.5, 0, 0, 15.99, 22, 5.26, 24.31, 86, 14.79, 13.78, 86, 40, 14.7, 0, 0, 10, 30.59, 2.2, 7.48, 1322, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 100, 23.7, 96.8, 162.88, 75.39, 14.7, 0, 35.83, 1, 10, 10.5, 23.7, 0, 0, 2.95, 19.53, 96.82, 0, 30.59, 0, 34.75, 42.31,
7659, 85.1, 17.14, 7.8, 0, 0, 21.09, 29.8, 5.74, 8.63, 86, 14.79, 12.62, 86, 40, 14.7, 0, 0, 10, 13.73, 2.72, 17.14, 1400, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 88.6, 5.04, 96.8, 162.88, 66.8, 14.7, 0, 32.99, 3, 10, -5, 5.04, 0, 0, 2.95, 18.07, 96.82, 0, 15.29, 0, 44.81, 45,
7944, 54.9, 28.88, 7.5, 0, 0, 10.78, 18.4, 1.72, 25.49, 86, 14.79, 10.88, 86, 40, 14.7, 0, 0, 10, 33.33, 2.43, 28.88, 1569, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 65.9, 14.2, 96.8, 162.88, 57.42, 14.7, 0, 22.52, 3, 28, -15.5, 14.2, 0, 0, 2.95, 12.66, 96.82, 0, 30.98, 0, 52.44, 54.75,
8244, 67.84, 28.6, 7.8, 0, 0, 5.49, 31, 2.34, 17.25, 86, 14.79, 10.44, 86, 40, 14.7, 0, 0, 10, 20.39, 2.95, 28.6, 1581, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 74.9, 6.45, 96.8, 162.88, 48.44, 14.7, 0, 22.92, 3, 28, -18.5, 6.45, 0, 4.69, 2.96, 6.51, 96.82, 0, 19.22, 0, 62.81, 65.19,
8539, 60, 28.5, 7.8, 0, 0, 11.92, 23.5, 1.79, 14.51, 86, 14.79, 11.17, 86, 40, 14.7, 0, 0, 10, 21.57, 2.94, 28.5, 1572, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 54.1, 11.93, 96.8, 162.88, 50, 14.7, 0, 22.31, 3, 28, -22.5, 11.93, 0, 4.69, 2.97, 13.71, 96.82, 0, 21.18, 0, 68.69, 68.88,
8839, 57.65, 28.27, 7.8, 0, 0, 12.38, 21.6, 1.72, 14.12, 86, 14.79, 11.02, 86, 40, 14.7, 0, 0, 10, 21.18, 2.72, 28.27, 1540, 0, 96.8, 0, 0, 86, 15.3, 0.76, 14.7, 199.4, 56.9, 12.3, 96.8, 162.88, 50, 14.7, 0, 21.45, 3, 28, -21, 12.3, 0, 4.69, 2.97, 14.71, 96.82, 0, 21.18, 0, 68.62, 68.88,
9130, 57.25, 28.2, 7.8, 0, 0, 12.18, 21.2, 1.7, 13.73, 84.2, 14.79, 11.46, 84, 40, 14.7, 0, 0, 10, 21.18, 2.71, 28.2, 1507, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.6, 12.21, 96.8, 162.88, 50, 14.7, 0, 21.33, 3, 28, -22, 12.21, 0, 4.69, 2.98, 15.61, 96.82, 0, 21.18, 0, 68.75, 68.88,
9424, 57.25, 28.24, 7.8, 0, 0, 11.95, 21.2, 1.7, 13.73, 84.2, 14.79, 11.31, 84, 40, 14.7, 0, 0, 10, 20.78, 2.65, 28.24, 1462, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.6, 12.05, 96.8, 162.88, 50, 14.7, 0, 21.15, 3, 28, -22, 12.05, 0, 4.69, 2.99, 14.72, 96.82, 0, 21.18, 0, 68.81, 68.88,
9707, 58.04, 30.11, 7.8, 0, 0, 11.78, 21.2, 1.7, 13.73, 84.2, 14.79, 11.31, 84, 40, 14.7, 0, 0, 10, 20.78, 2.65, 30.11, 1452, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.6, 11.83, 96.8, 163.02, 50, 14.7, 0, 21.3, 3, 28, -22, 11.83, 0, 4.69, 2.99, 14.38, 96.8, 0, 20.78, 0, 68.81, 68.88,
10010, 57.65, 30.4, 7.5, 0, 0, 11.7, 20.8, 1.62, 13.73, 82.4, 14.79, 11.46, 82, 40, 14.7, 0, 0, 10, 20.78, 2.68, 30.4, 1410, 0, 96.8, 0, 0, 82.4, 15.3, 0.76, 14.7, 199.4, 57.6, 11.64, 96.8, 162.88, 49.61, 14.7, 0, 21, 3, 30, -20.5, 11.64, 0, 4.69, 2.99, 12.93, 96.8, 0, 20.78, 0, 69.06, 68.88,
10325, 57.65, 29.68, 7.8, 0, 0, 11.69, 20.8, 1.61, 13.33, 82.4, 14.79, 11.46, 82, 40, 14.7, 0, 0, 10, 20.78, 2.67, 29.68, 1416, 0, 96.8, 0, 0, 82.4, 15.3, 0.76, 14.7, 199.4, 57.3, 11.58, 96.8, 162.88, 50, 14.7, 0, 20.81, 3, 30, -21, 11.58, 0, 4.69, 3, 14.31, 96.8, 0, 20.78, 0, 68.94, 68.88,
10640, 57.65, 29.68, 7.8, 0, 0, 11.46, 20.8, 1.61, 13.33, 82.4, 14.79, 11.02, 82, 40, 14.7, 0, 0, 10, 20.78, 2.69, 29.68, 1414, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.3, 11.54, 96.8, 162.88, 49.61, 14.7, 0, 20.54, 3, 30, -20.5, 11.54, 0, 4.69, 3, 13.51, 96.8, 0, 20.39, 0, 68.56, 68.88,
10944, 57.65, 29.97, 7.8, 0, 0, 11.48, 20.8, 1.59, 13.33, 82.4, 14.79, 11.31, 82, 40, 14.7, 0, 0, 10, 20.39, 2.68, 29.97, 1402, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.3, 11.49, 96.8, 162.88, 50, 14.7, 0, 20.54, 3, 30, -20.5, 11.49, 0, 4.69, 3, 13.12, 96.8, 0, 20.39, 0, 68.88, 68.88,
11230, 56.86, 29.69, 7.8, 0, 0, 11.74, 20.4, 1.58, 13.33, 82.4, 14.79, 11.31, 82, 40, 14.7, 0, 0, 10, 20.78, 2.67, 29.69, 1406, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.3, 11.83, 96.8, 163.02, 50, 14.7, 0, 20.36, 3, 30, -21, 11.83, 0, 4.69, 3.01, 14.31, 96.8, 0, 20.78, 0, 68.56, 68.88,
11587, 57.65, 30.02, 7.8, 0, 0, 11.65, 20.8, 1.59, 13.33, 82.4, 14.79, 11.31, 82, 40, 14.7, 0, 0, 10, 20.39, 2.67, 30.02, 1405, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.3, 11.55, 96.8, 162.88, 50, 14.7, 0, 20.54, 3, 30, -20.5, 11.55, 0, 4.69, 3.01, 13.44, 96.78, 0, 20.78, 0, 68.69, 68.88,
11917, 58.04, 30.19, 7.8, 0, 0, 11.56, 20.4, 1.59, 13.33, 82.4, 14.79, 11.31, 82, 40, 14.7, 0, 0, 10, 20.39, 2.65, 30.19, 1391, 0, 96.8, 0, 0, 84.2, 15.3, 0.76, 14.7, 199.4, 57.3, 11.43, 96.8, 162.88, 50.39, 14.7, 0, 20.66, 3, 30, -20.5, 11.43, 0, 4.69, 3.01, 14.09, 96.78, 0, 20.39, 0, 68.81, 68.88,
12231, 56.86, 30.22, 7.8, 0, 0, 11.61, 20.4, 1.58, 13.73, 82.4, 14.79, 11.6, 82, 40, 14.7, 0, 0, 10, 20.78, 2.61, 30.22, 1394, 0, 96.8, 0, 0, 82.4, 15.3, 0.76, 14.7, 199.4, 58, 11.59, 96.8, 162.88, 49.61, 14.7, 0, 20.32, 3, 30, -20, 11.59, 0, 4.69, 3.02, 12.92, 96.78, 0, 20.78, 0, 69.25, 68.88,
12539, 57.25, 30.25, 7.5, 0, 0, 11.67, 20.8, 1.59, 13.33, 82.4, 14.79, 11.6, 82, 40, 14.7, 0, 0, 10, 20.78, 2.68, 30.25, 1398, 0, 96.8, 0, 0, 82.4, 15.3, 0.76, 14.7, 199.4, 57.6, 11.61, 96.8, 163.02, 50.39, 14.7, 0, 20.48, 3, 30, -20, 11.61, 0, 4.69, 3.02, 13.96, 96.78, 0, 20.78, 0, 68.81, 68.88,
12845, 57.65, 30.16, 7.8, 0, 0, 11.41, 20.4, 1.6, 13.33, 82.4, 14.79, 11.46, 82, 40, 14.7, 0, 0, 10, 20.39, 2.66, 30.16, 1403, 0, 96.8, 0, 0, 82.4, 15.3, 0.76, 14.7, 199.4, 58, 11.39, 96.8, 162.88, 49.61, 14.7, 0, 20.6, 3, 30, -20.5, 11.39, 0, 4.69, 3.02, 13.36, 96.78, 0, 20.39, 0, 68.94, 68.88,
13201, 57.65, 29.69, 7.8, 0, 0, 11.69, 20.8, 1.59, 13.33, 80.6, 14.79, 11.46, 81, 40, 14.7, 0, 0, 10, 20.78, 2.66, 29.69, 1413, 0, 96.8, 0, 0, 80.6, 15.3, 0.76, 14.7, 199.4, 57.3, 11.68, 96.8, 162.88, 50, 14.7, 0, 20.42, 3, 30, -20, 11.68, 0, 4.69, 3.03, 13.55, 96.78, 0, 20.78, 0, 68.94, 68.88,
13510, 57.25, 29.97, 7.8, 0, 0, 11.73, 20.8, 1.59, 13.73, 80.6, 14.79, 11.6, 81, 40, 12.63, 0, 0, 10, 20.78, 2.71, 29.97, 1416, 0, 96.8, 0, 0, 80.6, 15.3, 0.76, 12.4, 199.4, 58, 11.83, 96.8, 162.88, 49.61, 12.66, 0, 20.29, 3, 30, -20, 11.83, 0, 4.69, 3.03, 13.81, 96.76, 0, 20.78, 0, 68.94, 68.88,
13855, 57.65, 29.72, 7.8, 0, 0, 11.59, 20.8, 1.59, 13.73, 80.6, 14.79, 11.46, 81, 40, 12.63, 0, 0, 10, 20.78, 2.66, 29.72, 1435, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 12.52, 199.4, 57.6, 11.65, 98.6, 162.88, 49.61, 12.53, 0, 20.45, 3, 30, -20.5, 11.65, 0, 4.69, 3.03, 13.83, 96.76, 0, 20.78, 0, 68.62, 68.88,
14165, 57.25, 30.25, 7.8, 0, 0, 11.78, 20.8, 1.55, 13.33, 80.6, 14.79, 11.46, 81, 40, 12.63, 0, 0, 10, 20.78, 2.64, 30.25, 1418, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 12.63, 199.4, 57.6, 11.74, 98.6, 162.88, 50, 12.66, 0, 20.08, 3, 30, -20.5, 11.74, 0, 4.69, 3.03, 14.5, 96.76, 0, 20.78, 0, 68.94, 68.88,
14506, 57.65, 30.06, 7.5, 0, 0, 11.52, 21.6, 1.52, 14.12, 80.6, 14.79, 11.31, 81, 40, 12.86, 0, 0, 10, 20.78, 2.64, 30.06, 1398, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 12.98, 199.4, 57.6, 11.48, 98.6, 163.02, 50, 12.91, 0, 19.9, 3, 30, -19.5, 11.48, 0, 4.69, 3.04, 13.17, 96.76, 0, 20.78, 0, 68.62, 68.88,
14824, 61.96, 30.16, 7.8, 0, 0, 13.4, 21.6, 1.55, 14.9, 80.6, 14.79, 12.18, 81, 40, 13.32, 0, 0, 10, 21.96, 2.64, 30.16, 1352, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 13.21, 199.4, 57.6, 13.42, 98.6, 162.88, 54.69, 13.27, 0, 21.55, 3, 30, -19.5, 13.42, 0, 4.69, 3.04, 15.81, 96.76, 0, 21.96, 0, 68.62, 68.88,
15130, 63.53, 30.18, 7.8, 0, 0, 12.9, 22, 1.6, 14.51, 80.6, 14.79, 12.47, 81, 40, 13.09, 0, 0, 10, 21.57, 2.7, 30.18, 1377, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 13.09, 199.4, 63.1, 12.75, 98.6, 162.88, 55.08, 13.19, 0, 21.97, 3, 30, -20, 12.75, 0, 4.69, 3.04, 16.46, 96.76, 0, 21.57, 0, 68.94, 68.88,
15446, 62.35, 29.64, 7.8, 0, 0, 12.68, 21.6, 1.57, 15.69, 80.6, 14.79, 12.18, 81, 40, 13.55, 0, 0, 10, 22.35, 2.7, 29.64, 1388, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 13.55, 199.4, 62.7, 12.73, 98.6, 162.88, 55.08, 13.69, 0, 21.7, 3, 30, -19, 12.73, 0, 4.69, 3.04, 13.9, 96.76, 0, 22.75, 0, 68.62, 68.88,
15750, 65.1, 29.72, 7.8, 0, 0, 13.47, 22.7, 1.59, 15.69, 80.6, 14.79, 12.76, 81, 40, 13.55, 0, 0, 10, 21.96, 2.72, 29.72, 1347, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 13.55, 199.4, 64.7, 13.35, 98.6, 162.88, 56.25, 13.43, 0, 22.46, 3, 30, -19.5, 13.35, 0, 4.69, 3.04, 14.43, 96.75, 0, 21.96, 0, 68.69, 68.88,
16046, 65.1, 30.19, 7.8, 0, 0, 15.57, 22.4, 1.57, 16.08, 80.6, 14.79, 13.49, 81, 40, 13.9, 0, 0, 10, 22.75, 2.68, 30.19, 1354, 0, 98.6, 0, 0, 80.6, 15.3, 0.76, 13.78, 199.4, 64.7, 16.86, 98.6, 162.88, 59.38, 13.92, 0, 23.04, 3, 30, -20.5, 16.86, 0, 4.69, 3.04, 15.65, 96.75, 0, 23.14, 0, 68.81, 68.88,
